ID	Ontology Name	Authors	Institution	Country	Published	Links to papers	Full-text	Notes	Use cases	Used in		Analysis notes	Listed in LOV repo	Link to the actual ontology source/doc	Other Link	BibTex
0	Researcher Profile Ontology for Academic Environment	"Maricela Claudia Bravo, 
José A. Reyes, 
Isabel Cruz"	Metropolitan Autonomous University	Mexico	2019-2020	"https://www.youtube.com/watch?v=yBaNB-tSnNs

https://www.researchgate.net/publication/332623179_Researcher_Profile_Ontology_for_Academic_Environment"	Full-text requested by Bach		"Basic meta data about researchers
Collaborations between researchers
Stats about publications
Scientific productivity of a department 
Basic researcher segmentation...
Good expressivity & suitable for querying"	•		Search sometimes depends on literals, meaning no code list used	NO, too new	"N/A No mentioning of any source code in the papers
DOI: 10.1007/978-3-030-17795-9_60"		"@inproceedings{DBLP:conf/cvc/BravoRC19,
  author    = {Maricela Bravo and
               Jos{\'{e}} Alejandro Reyes{-}Ortiz and
               Isabel Cruz{-}Ruiz},
  editor    = {Kohei Arai and
               Supriya Kapoor},
  title     = {Researcher Profile Ontology for Academic Environment},
  booktitle = {Advances in Computer Vision - Proceedings of the 2019 Computer Vision
               Conference, {CVC} 2019, Las Vegas, Nevada, USA, 25-26 April 2019,
               Volume 1},
  series    = {Advances in Intelligent Systems and Computing},
  volume    = {943},
  pages     = {799--817},
  publisher = {Springer},
  year      = {2019},
  url       = {https://doi.org/10.1007/978-3-030-17795-9\_60},
  doi       = {10.1007/978-3-030-17795-9\_60},
  timestamp = {Wed, 22 Jan 2020 09:22:31 +0100},
  biburl    = {https://dblp.org/rec/conf/cvc/BravoRC19.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
1	OLOUD	"Fleiner, R., 
Szasz, B., 
Micsik, A."	various	Hungary	2016-2017	https://www.researchgate.net/publication/323475615_OLOUD_-_an_ontology_for_linked_open_university_data	Full-text available		"• University subject composition in hungary
• Personal timetable assembly, avoid course conflicts, considering personal preferences and requirements, dependencies. Daily scheduling.
• Dependency graph for courses = prerequisites
• Course availability in each semester
• Course planning, study simulation, roadmap, recommended number of courses, recommended course to take based  on achievments, ...
• University resources (rooms, equiment) = booking courses, booking exams, course location management,
"	•		"a nice review of edu onto. https://docs.google.com/document/d/1Aqp-x1j1Vzoo3d3tPateL8DBiByCnbhBsJ4r1hTdZgg/edit#

https://blogs.pjjk.net/phil/a-short-project-on-linking-course-data/"	No	"http://lod.nik.uni-obuda.hu/oloud-indoor.owl# 
http://lod.nik.uni-obuda.hu/oloud-base.owl# 
"		"@article{article,
author = {Fleiner, Rita and Szász, Barnabás and Micsik, András},
year = {2017},
month = {01},
pages = {63-82},
title = {OLOUD - an ontology for linked open university data},
volume = {14},
journal = {Acta Polytechnica Hungarica},
doi = {10.12700/APH.14.4.2017.4.4}
}"
2	PWO	"Gangemi, A., 
Peroni, S., 
Shotton, D.M., 
Vitali, F."	University of Bologna	Italy	2016-2017	http://www.semantic-web-journal.net/system/files/swj1301.pdf	Full-text available		"• Describes publishing processes for such as articles and journals
• Academic publishing & legislative domains.
• Is used in combination with PSO (publishing status ontology)
• Detailed description of each event / step from submission until revision
• Suitable for querying & search, ordering, aggregation
• Also is used incombination with time-related vocabs
• Is generic enough to use in other workflows"	•			Yes	"http://purl.org/spar/pwo

https://github.com/SPAROntologies/pwo/blob/master/docs/2017-06-01/pwo.owl"		"@article{DBLP:journals/semweb/GangemiPSV17,
  author    = {Aldo Gangemi and
               Silvio Peroni and
               David M. Shotton and
               Fabio Vitali},
  title     = {The Publishing Workflow Ontology {(PWO)}},
  journal   = {Semantic Web},
  volume    = {8},
  number    = {5},
  pages     = {703--718},
  year      = {2017},
  url       = {https://doi.org/10.3233/SW-160230},
  doi       = {10.3233/SW-160230},
  timestamp = {Wed, 14 Nov 2018 10:33:52 +0100},
  biburl    = {https://dblp.org/rec/journals/semweb/GangemiPSV17.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
3	VIVO	"Katy Borner, 
Michael Conlon, 
Jon Corson-Rikert, 
Ying Ding"	various	USA	2012-2013	https://www.researchgate.net/publication/236834347_VIVO_A_Semantic_Approach_to_Scholarly_Networking_and_Discovery	Full-text available		"• Faceted search - narrow down results by automatically applying filters from classifications of the term
• Information routing to relevant users
• Semantically enabled collaboration tools 
• CV, biosketch
• Bibliography management
• Faculty reporting
• Grant submission + management
• Course management
• Search for relevant expertise for acaemic collabs
• Opportunity alerts
• Attribution for academics - credits for academic activities"	"• University of Colorado Boulder - Faculty demographics and reporting tools
• Weill Cornell medical College - Legacy Researcher Profiling system, NOTABLE: SPARQL Query Builder
• Lens: : A faceted browser for research networking platforms DOI: 10.1109/eScience.2013.54"			Yes	http://vivoweb.org/ontology/core		"@book{DBLP:series/synthesis/2012Borner,
  author    = {Katy B{\""{o}}rner and
               Michael Conlon and
               Jon Corson{-}Rikert and
               Ying Ding},
  title     = {{VIVO:} {A} Semantic Approach to Scholarly Networking and Discovery},
  series    = {Synthesis Lectures on the Semantic Web},
  publisher = {Morgan {\&} Claypool Publishers},
  year      = {2012},
  url       = {https://doi.org/10.2200/S00428ED1V01Y201207WBE002},
  doi       = {10.2200/S00428ED1V01Y201207WBE002},
  timestamp = {Sun, 02 Jun 2019 20:42:17 +0200},
  biburl    = {https://dblp.org/rec/series/synthesis/2012Borner.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
4	SWRC	"York Sure-Vetter,
Stephan Bloehdorn,
Peter Haase,
Jens Hartmann,
Daniel Oberle"	Karlsruhe + commercial	Germany	2005-2006	https://www.researchgate.net/publication/220773756_The_SWRC_Ontology_-_Semantic_Web_for_Research_Communities	Full-text available		"• General model for typical research communities
• Model key entities in research
• Publications, activities, mutual interrelations
• Has been mostly extended for specific use, this is therefore a core module
"	"• SEmantic portAL
• Bibster - p2p sharing bib metadata in bibtex
• COIN community ontology - extension to SWRC - to model any community of interest
"			Yes	http://swrc.ontoware.org/ontology#
		"@inproceedings{DBLP:conf/epia/SureBHHO05,
  author    = {York Sure and
               Stephan Bloehdorn and
               Peter Haase and
               Jens Hartmann and
               Daniel Oberle},
  editor    = {Carlos Bento and
               Am{\'{\i}}lcar Cardoso and
               Ga{\""{e}}l Dias},
  title     = {The {SWRC} Ontology - Semantic Web for Research Communities},
  booktitle = {Progress in Artificial Intelligence, 12th Portuguese Conference on
               Artificial Intelligence, {EPIA} 2005, Covilh{\~{a}}, Portugal, December
               5-8, 2005, Proceedings},
  series    = {Lecture Notes in Computer Science},
  volume    = {3808},
  pages     = {218--231},
  publisher = {Springer},
  year      = {2005},
  url       = {https://doi.org/10.1007/11595014\_22},
  doi       = {10.1007/11595014\_22},
  timestamp = {Tue, 14 May 2019 10:00:41 +0200},
  biburl    = {https://dblp.org/rec/conf/epia/SureBHHO05.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
5	Ontology for Academic Program Accreditation	Jehad Sabri	Taif University, KSA	Saudi Arabia	2016-2017	https://www.researchgate.net/publication/305818745_Ontology_for_Academic_Program_Accreditation	Full-text available		"• Mapping of student assessment activities to course learning outcomes to evaluate student outcomes.
• Avoid over mapping or under mapping of student outcomes
• To improve accreditation processes, improve student outcomes, improve ""návaznost"" study results
• Aimed for Accreditation Board for Engineering and Technology (ABET)
• Visualization of student outcomes
• Implemented as Protege plugin..."	• ABETS Program Evaluators			No	"source code N/A
https://www.researchgate.net/publication/305818745_Ontology_for_Academic_Program_Accreditation"		"@article{article,
author = {Sabri, Jehad},
year = {2016},
month = {07},
pages = {},
title = {Ontology for Academic Program Accreditation},
volume = {7},
journal = {International Journal of Advanced Computer Science and Applications},
doi = {10.14569/IJACSA.2016.070717}
}"
6	CCSO	Evangelos Katis, Haridimos Kondylakis, Giannis Agathangelos, Kostas Vassilakis	TEI Crete, Heraklion	Greece	2017-2018	https://2018.eswc-conferences.org/files/posters-demos/paper_246.pdf	Full-text available		"• Course-oriented ontology
• Curriculum management
• Describe and annotate syllabi across universities, edu systems and disciplines
• for: semantic search, matching, interlinking, recommendation of courses ...
• Aimed at higher education curriculum"			So far, there has always been an entity called Person	no	"http://xworks.gr/ontologies/ccso.owl
"		"@inproceedings{DBLP:conf/esws/KatisKAV18,
  author    = {Evangelos Katis and
               Haridimos Kondylakis and
               Giannis Agathangelos and
               Kostas Vassilakis},
  editor    = {Aldo Gangemi and
               Anna Lisa Gentile and
               Andrea Giovanni Nuzzolese and
               Sebastian Rudolph and
               Maria Maleshkova and
               Heiko Paulheim and
               Jeff Z. Pan and
               Mehwish Alam},
  title     = {Developing an Ontology for Curriculum and Syllabus},
  booktitle = {The Semantic Web: {ESWC} 2018 Satellite Events - {ESWC} 2018 Satellite
               Events, Heraklion, Crete, Greece, June 3-7, 2018, Revised Selected
               Papers},
  series    = {Lecture Notes in Computer Science},
  volume    = {11155},
  pages     = {55--59},
  publisher = {Springer},
  year      = {2018},
  url       = {https://doi.org/10.1007/978-3-319-98192-5\_11},
  doi       = {10.1007/978-3-319-98192-5\_11},
  timestamp = {Wed, 25 Sep 2019 18:19:48 +0200},
  biburl    = {https://dblp.org/rec/conf/esws/KatisKAV18.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
7	FOAF-Academic Ontology: A Vocabulary for the Academic Community	"Edlira Kalemi,
Edlira Martiri"	University of Surrey	UK	2011-2012	"https://www.researchgate.net/publication/220783175_FOAF-Academic_Ontology_A_Vocabulary_for_the_Academic_Community

https://www.semanticscholar.org/paper/FOAF-Academic-Ontology%3A-A-Vocabulary-for-the-Kalemi-Martiri/bbe40c40ee1fd2deb5a879d99ed31ff00037eae5/figure/5"	Full-text requested by Bach	• paper not retrieved	"• Built on top of FOAF vocabulary by restricting the target audience as only academic communities.
"	http://doi.org/10.11591/ijece.v9i5.pp4302-4310			No, only foaf	"source code N/A, 
https://www.researchgate.net/publication/220783175_FOAF-Academic_Ontology_A_Vocabulary_for_the_Academic_Community"		"@inproceedings{DBLP:conf/incos/KalemiM11,
  author    = {Edlira Kalemi and
               Edlira Martiri},
  editor    = {Fatos Xhafa and
               Leonard Barolli and
               Mario K{\""{o}}ppen},
  title     = {FOAF-Academic Ontology: {A} Vocabulary for the Academic Community},
  booktitle = {2011 Third International Conference on Intelligent Networking and
               Collaborative Systems (INCoS), Fukuoka, Japan, November 30 - Dec.
               2, 2011},
  pages     = {440--445},
  publisher = {{IEEE} Computer Society},
  year      = {2011},
  url       = {https://doi.org/10.1109/INCoS.2011.94},
  doi       = {10.1109/INCoS.2011.94},
  timestamp = {Wed, 16 Oct 2019 14:14:53 +0200},
  biburl    = {https://dblp.org/rec/conf/incos/KalemiM11.bib},
  bibsource = {dblp computer science bibliography, https://dblp.org}
}"
8	AIISO (Academic Institution Internal Structure Ontology)	"Rob Styles,
Nadeem Shabir"	University College Dublin	Ireland	2008-2009	"https://vocab.org/aiiso/

https://www.researchgate.net/publication/321662292_Ontology-Based_EducationIndustry_Collaboration_System

https://www.researchgate.net/publication/309417557_A_Case_Study_on_Linked_Data_for_University_Courses

https://www.researchgate.net/publication/304888283_Agent_model_development_by_using_ontology_in_university's_archiving"	Full-text not available?		"• Similar purpose as VIVO
• describes organizational structire of academic institutions"	http://doi.org/10.11591/ijece.v9i5.pp4302-4310			Yes https://lov.linkeddata.es/dataset/lov/vocabs/aiiso	"https://vocab.org/aiiso/
"		"no article
http://purl.org/vocab/aiiso/schema"
