IRI/URL	usable resource	Acronym	Name	Description
N/A, DOI: 10.1007/s00799-016-0169-3	http://isdb.cs.aueb.gr/scholarlyontology/ScholarlyOntology	SO	Scholarly Ontology	An ontology for modeling scholarly practices, based on notions from business process modelling and Cultural-Historical Activity Theory.
http://lod.nik.uni-obuda.hu/oloud-base.owl#	http://lod.nik.uni-obuda.hu/oloud-base.owl#	OLOUD-BASE	Ontology for Linked Open University Data	The objectives of the OLOUD ontology is to support the development and publishing of Linked Open University Datasets and the applications built on the top of these Open Datasets. OLOUD contains classes and properties to describe Organizations, People, their Roles and Publications, Subjects, Courses and other Events and their temporal and spatial description. The ontology is divided into two connected modules: 1. OLOUD-BASE is the main module describing all the university related concepts and uses the prefix oloud, 2. OLOUD-LOC module provides the indoor location and navigation features and uses the prefix loc.
http://lod.nik.uni-obuda.hu/oloud-indoor.owl#	http://lod.nik.uni-obuda.hu/oloud-indoor.owl#	OLOUD-LOC	Ontology for Linked Open University Data	This ontology provides indoor location and navigation features. An extension of OLOUD-BASE
http://vivoweb.org/ontology/core	https://duraspace.org/wp-content/uploads/2020/02/vivo.owl	VIVO	VIVO-ISF Ontology	An ontology of academic and research domain, developed in the framework of the VIVO project
http://swrc.ontoware.org/ontology#	https://www.researchgate.net/publication/220773756_The_SWRC_Ontology_-_Semantic_Web_for_Research_Communities	SWRC	Semantic Web for Research Communities	An ontology for modeling entities of research communities such as persons, organisations, publications (bibliographic metadata) and their relationship
N/A, DOI: 10.14569/IJACSA.2016.070717	https://www.researchgate.net/publication/305818745_Ontology_for_Academic_Program_Accreditation	ABET	Ontology for Academic Program Accreditation	Ontology of Accreditation Board of Engineering and Technology(ABET) Process
http://xworks.gr/ontologies/ccso.owl	http://xworks.gr/ontologies/ccso.owl	CCSO	Curriculum, Course, and Syllabus Ontology	This Ontology aims to provide data model for describing the subjects of Curriculum, Course and Syllabus in Higher education.
N/A, DOI: 10.1109/INCoS.2011.94	https://www.semanticscholar.org/paper/FOAF-Academic-Ontology%3A-A-Vocabulary-for-the-Kalemi-Martiri/bbe40c40ee1fd2deb5a879d99ed31ff00037eae5	FOAF-Academic	FOAF-Academic Ontology	A Vocabulary for the Academic Community.
https://vocab.org/aiiso/	https://vocab.org/aiiso/schema-20080925.rdf	AIISO	Academic Institution Internal Structure Ontology	The Academic Institution Internal Structure Ontology (AIISO) provides classes and properties to describe the internal organizational structure of an academic institution.
http://purl.org/ontology/edu/eso/eso.ttl	https://github.com/tetherless-world/education-standards-ontology/blob/master/ont/eso.ttl	ESO	Education Standards Ontology	Education Standards Ontology
http://purl.org/ontology/edu/eao/eao.ttl	https://github.com/tetherless-world/education-standards-ontology/blob/master/ont/eao.ttl	EAO	Education Application Ontology	Education Application Ontology
http://purl.org/cerif/frapo/	https://sparontologies.github.io/frapo/current/frapo.html	FRAPO	Funding, Research Administration and Projects Ontology	The Funding, Research Administration and Projects Ontology, is a CERIF-compliant ontology written in OWL 2 DL for describing research project administrative information.
N/A, DOI: 10.1145/3175536.3175555	https://www.researchgate.net/publication/319449170_Ontology_for_the_personal_learning_environments_in_the_development_of_thesis_projects	PLET4Thesis	PLET4Thesis	Designed in order to organise the process of thesis development using the elements required to create a PLE (personal leaning environment).  Designed to guide thesis students in the construction of their PLE.
http://orkg.org/core	https://gitlab.com/TIBHannover/orkg/orkg-ontology/-/blob/master/orkg-core.ttl	ORKG	Open Research Knowledge Graph	Used for Comparing Research Contributions in a Scholarly Knowledge Graph
N/A, DOI: 10.1007/978-3-030-17795-9_60	-	RPO	Researcher Profile Ontology	Designed specifically to represent academic contexts at a public university.
http://ontology.ethereal.cz/irao	https://w3id.org/def/InformaticsResearchArtifactsOntology	IRAO	Informatics Research Artifacts Ontology	Used to describe research artifacts in research, including authorship, evolution, etc.
http://eventography.org/sede/0.1/	https://www.researchgate.net/publication/200704228_SEDE_An_ontology_for_scholarly_event_description	SEDE	Scholarly Event Description Ontology	An ontology for scholarly event description.
http://www.cs.toronto.edu/~yuana/utcs_yuana.daml#	http://www.cs.toronto.edu/~yuana/researchCenter/yuanaOnto.html	OAD	Ontology for Academic Department	This ontology help people in an academic department to mark up their metadata of resources.
N/A, DOI: 10.1145/2491845.2491884	https://kopernio.com/viewer?doi=10.1145%2F2491845.2491884&token=WzI0MDgxNDIsIjEwLjExNDUvMjQ5MTg0NS4yNDkxODg0Il0.4_tDo-1HwCggGolS2XTubglnTbA	AcademIS	AcademIS	AcademIS: an ontology for representing academic activity and collaborations within HEIs
